rating,price_level,name,Corresponding Airbnb Coords
4.7,2.0,Ix,"40.64386, -73.98195"
4.8,2.0,ZED Eats And Drinks,"40.64386, -73.98195"
4.6,2.0,Werkstatt,"40.64386, -73.98195"
4.5,2.0,Krupa Grocery,"40.64386, -73.98195"
