rating,price_level,name,Corresponding Airbnb Coords
4.7,2.0,BKLYN Blend,"40.68227, -73.93305"
4.1,2.0,Xcellent Soul Food,"40.68227, -73.93305"
3.8,2.0,Soulful Foods,"40.68227, -73.93305"
4.3,2.0,Napoleon’s,"40.68227, -73.93305"
4.1,2.0,Soulfood Caterers,"40.68227, -73.93305"
