rating,price_level,name,Corresponding Airbnb Coords
4.7,2.0,Rector Street Food Enterprises,"40.71728, -74.01511"
3.9,2.0,Essen Fast Slow Food,"40.71728, -74.01511"
4.6,2.0,Quantum Leap,"40.71728, -74.01511"
4.3,2.0,sweetgreen,"40.71728, -74.01511"
4.7,2.0,Bite Food & Coffee Co,"40.71728, -74.01511"
4.0,2.0,Dante's Gourmet Foods,"40.71728, -74.01511"
