rating,price_level,name,Corresponding Airbnb Coords
4.0,2.0,Vibes,"40.6743, -73.78471"
4.5,1.0,B&B Food Farm,"40.6743, -73.78471"
3.7,1.0,Checkers,"40.6743, -73.78471"
3.7,1.0,Checkers,"40.6743, -73.78471"
4.0,1.0,Caribbean Food Hut,"40.6743, -73.78471"
3.7,1.0,Wendy's,"40.6743, -73.78471"
3.7,1.0,Family Kitchen,"40.6743, -73.78471"
3.5,1.0,No 1,"40.6743, -73.78471"
4.2,2.0,Ebenezer Restaurant & Pizzeria,"40.6743, -73.78471"
